x_pos,y_pos,s0,s1,s2,s3,s4,s5,s6,s7
2.049999999999999822e+00,2.049999999999999822e+00,-1.401666666666626961e-02,-3.443750000000411760e-03,-3.625000000004874323e-04,-2.278571428571193359e-03,-1.242857142857291524e-03,-3.443750000000411760e-03,-2.630714285714244940e-02,-3.363999999999940649e-02
2.450000000000000178e+00,2.049999999999999822e+00,-1.776249999999990337e-02,1.864285714285937286e-03,-1.268749999999707612e-03,8.285714285712739071e-04,2.278571428571193359e-03,6.214285714288994653e-04,-2.174999999999993605e-02,-3.521428571428560778e-02
3.049999999999999822e+00,2.049999999999999822e+00,-1.739999999999986002e-02,-2.356250000000059686e-03,2.278571428570939656e-03,2.537499999999859313e-03,-1.208333333333181823e-03,1.691666666666572947e-03,-2.048125000000022844e-02,-1.631250000000017408e-02
3.450000000000000178e+00,2.049999999999999822e+00,-3.376428571428594788e-02,2.537499999999415223e-03,-2.278571428571447063e-03,2.071428571429073055e-03,3.770000000000095323e-03,-6.041666666666500873e-03,-1.822857142857157650e-02,-8.285714285714515862e-03
4.049999999999999822e+00,2.049999999999999822e+00,-1.449999999999970410e-02,4.349999999999631939e-03,3.866666666665944611e-03,-2.900000000000093042e-03,-1.933333333333268509e-03,2.071428571427804104e-03,-1.836666666666619818e-02,7.250000000000866862e-04
4.450000000000000178e+00,2.049999999999999822e+00,-1.232500000000028885e-02,3.141666666667042307e-03,-4.108333333333824555e-03,2.174999999999371880e-03,-4.531250000000097700e-03,-8.941666666667144256e-03,-2.464999999999998789e-02,1.866875000000023377e-02
5.049999999999999822e+00,2.049999999999999822e+00,-1.740000000000000921e-02,-3.521428571428484883e-03,-2.416666666669916306e-04,2.692857142857718600e-03,-2.416666666666955621e-03,-4.350000000000265980e-03,-2.195714285714243583e-02,4.370714285714300679e-02
5.450000000000000178e+00,2.049999999999999822e+00,-4.374166666666686604e-02,-5.558333333333109749e-03,9.666666666667822483e-04,1.740000000000207960e-03,-5.800000000000693923e-04,-8.216666666666464294e-03,-1.512142857142860335e-02,5.567999999999991012e-02
6.049999999999999822e+00,2.049999999999999822e+00,-2.416666666666689167e-02,-3.314285714285856738e-03,6.421428571428323788e-03,5.178571428571794241e-03,-2.071428571431356872e-04,-2.278571428571447063e-03,-1.619166666666653140e-02,7.975000000000005695e-02
6.450000000000000178e+00,2.049999999999999822e+00,-3.576666666666650229e-02,-1.449999999999581181e-03,4.833333333336871655e-04,5.385714285714422386e-03,-5.558333333333405520e-03,-4.591666666666327501e-03,-1.657142857142852171e-02,1.010166666666663104e-01
7.049999999999999822e+00,2.049999999999999822e+00,-2.465000000000006075e-02,-7.491666666666378475e-03,3.141666666666450333e-03,-4.108333333334712734e-03,3.935714285713994877e-03,5.799999999990035132e-04,-1.885000000000018258e-02,1.377500000000004832e-01
7.450000000000000178e+00,2.049999999999999822e+00,-3.214166666666665867e-02,-3.728571428571113028e-03,-4.142857142862713745e-04,-2.658333333333354979e-03,3.081249999999924327e-03,-9.062500000003304024e-04,-1.860833333333289374e-02,1.674749999999993744e-01
